,Location,mean_score
261,"michigan,montmorency",
262,"michigan,oscoda",
263,"michigan,presque isle",
264,"michigan,roscommon",
265,"minnesota,benton",
266,"minnesota,clay",
267,"minnesota,dodge",
268,"minnesota,fillmore",
269,"minnesota,houston",
270,"minnesota,mower",
271,"minnesota,red lake",
272,"minnesota,sherburne",
273,"mississippi,amite",
274,"mississippi,benton",
275,"mississippi,carroll",
276,"mississippi,humphreys",
277,"mississippi,issaquena",
278,"mississippi,itawamba",
279,"mississippi,newton",
280,"mississippi,perry",
281,"mississippi,stone",
282,"mississippi,tate",
283,"mississippi,tunica",
284,"missouri,andrew",
285,"missouri,benton",
286,"missouri,bollinger",
287,"missouri,caldwell",
288,"missouri,carter",
289,"missouri,chariton",
290,"missouri,christian",
291,"missouri,clark",
292,"missouri,cooper",
293,"missouri,crawford",
294,"missouri,dade",
295,"missouri,dallas",
296,"missouri,daviess",
297,"missouri,de kalb",
298,"missouri,douglas",
299,"missouri,dunklin",
300,"missouri,hickory",
301,"missouri,holt",
302,"missouri,howard",
303,"missouri,knox",
304,"missouri,lewis",
305,"missouri,mcdonald",
306,"missouri,maries",
307,"missouri,mercer",
308,"missouri,miller",
309,"missouri,mississippi",
310,"missouri,moniteau",
311,"missouri,monroe",
312,"missouri,montgomery",
313,"missouri,morgan",
314,"missouri,new madrid",
315,"missouri,oregon",
316,"missouri,osage",
317,"missouri,ozark",
318,"missouri,ralls",
319,"missouri,ripley",
320,"missouri,st louis city",
321,"missouri,schuyler",
322,"missouri,shannon",
323,"missouri,shelby",
324,"missouri,stone",
325,"missouri,warren",
326,"missouri,wayne",
327,"missouri,webster",
328,"missouri,worth",
329,"missouri,wright",
330,"montana,golden valley",
331,"montana,jefferson",
332,"montana,judith basin",
333,"montana,petroleum",
334,"montana,powder river",
335,"montana,treasure",
336,"montana,wibaux",
337,"montana,yellowstone national",
338,"nebraska,arthur",
339,"nebraska,banner",
340,"nebraska,blaine",
341,"nebraska,cass",
342,"nebraska,cedar",
343,"nebraska,clay",
344,"nebraska,dakota",
345,"nebraska,deuel",
346,"nebraska,dixon",
347,"nebraska,frontier",
348,"nebraska,garfield",
349,"nebraska,gosper",
350,"nebraska,grant",
351,"nebraska,greeley",
352,"nebraska,hayes",
353,"nebraska,hitchcock",
354,"nebraska,hooker",
355,"nebraska,keya paha",
356,"nebraska,logan",
357,"nebraska,loup",
358,"nebraska,mcpherson",
359,"nebraska,nance",
360,"nebraska,rock",
361,"nebraska,sherman",
362,"nebraska,sioux",
363,"nebraska,stanton",
364,"nebraska,thomas",
365,"nebraska,wheeler",
366,"nevada,esmeralda",
367,"nevada,eureka",
368,"nevada,storey",
369,"new mexico,catron",
370,"new mexico,de baca",
371,"new mexico,harding",
372,"new mexico,hidalgo",
373,"new mexico,mora",
374,"new mexico,torrance",
375,"new york,greene",
376,"new york,hamilton",
377,"new york,seneca",
378,"new york,tioga",
379,"new york,washington",
380,"north carolina,alexander",
381,"north carolina,avery",
382,"north carolina,camden",
383,"north carolina,caswell",
384,"north carolina,clay",
385,"north carolina,currituck",
386,"north carolina,franklin",
387,"north carolina,gaston",
388,"north carolina,gates",
389,"north carolina,graham",
390,"north carolina,greene",
391,"north carolina,hyde",
392,"north carolina,jones",
393,"north carolina,macon",
394,"north carolina,madison",
395,"north carolina,northampton",
396,"north carolina,pamlico",
397,"north carolina,perquimans",
398,"north carolina,richmond",
399,"north carolina,transylvania",
400,"north carolina,tyrrell",
401,"north carolina,warren",
402,"north carolina,yadkin",
403,"north carolina,yancey",
404,"north dakota,benson",
405,"north dakota,billings",
406,"north dakota,burke",
407,"north dakota,dunn",
408,"north dakota,eddy",
409,"north dakota,golden valley",
410,"north dakota,hettinger",
411,"north dakota,kidder",
412,"north dakota,la moure",
413,"north dakota,logan",
414,"north dakota,mchenry",
415,"north dakota,morton",
416,"north dakota,oliver",
417,"north dakota,renville",
418,"north dakota,richland",
419,"north dakota,sargent",
420,"north dakota,sheridan",
421,"north dakota,slope",
422,"north dakota,steele",
423,"ohio,brown",
424,"ohio,carroll",
425,"ohio,lawrence",
426,"ohio,meigs",
427,"ohio,monroe",
428,"ohio,morgan",
429,"ohio,noble",
430,"ohio,perry",
431,"ohio,preble",
432,"ohio,putnam",
433,"ohio,vinton",
434,"oklahoma,alfalfa",
435,"oklahoma,cotton",
436,"oklahoma,grant",
437,"oklahoma,latimer",
438,"oklahoma,mcintosh",
439,"oklahoma,tillman",
440,"oregon,columbia",
441,"oregon,gilliam",
442,"oregon,sherman",
443,"oregon,wheeler",
444,"pennsylvania,cameron",
445,"pennsylvania,forest",
446,"pennsylvania,juniata",
447,"pennsylvania,northumberland",
448,"pennsylvania,perry",
449,"pennsylvania,pike",
450,"pennsylvania,snyder",
451,"pennsylvania,sullivan",
452,"rhode island,bristol",
453,"south carolina,bamberg",
454,"south carolina,barnwell",
455,"south carolina,calhoun",
456,"south carolina,dorchester",
457,"south carolina,edgefield",
458,"south carolina,fairfield",
459,"south carolina,lee",
460,"south carolina,mccormick",
461,"south carolina,marlboro",
462,"south carolina,saluda",
463,"south dakota,aurora",
464,"south dakota,buffalo",
465,"south dakota,butte",
466,"south dakota,campbell",
467,"south dakota,clark",
468,"south dakota,corson",
469,"south dakota,hamlin",
470,"south dakota,hanson",
471,"south dakota,harding",
472,"south dakota,hyde",
473,"south dakota,jackson",
474,"south dakota,jones",
475,"south dakota,lyman",
476,"south dakota,mccook",
477,"south dakota,mellette",
478,"south dakota,miner",
479,"south dakota,perkins",
480,"south dakota,sanborn",
481,"south dakota,oglala dakota",
482,"south dakota,stanley",
483,"south dakota,sully",
484,"south dakota,ziebach",
485,"tennessee,chester",
486,"tennessee,clay",
487,"tennessee,crockett",
488,"tennessee,decatur",
489,"tennessee,fayette",
490,"tennessee,fentress",
491,"tennessee,grainger",
492,"tennessee,grundy",
493,"tennessee,haywood",
494,"tennessee,jackson",
495,"tennessee,lake",
496,"tennessee,lewis",
497,"tennessee,mcnairy",
498,"tennessee,marion",
499,"tennessee,meigs",
500,"tennessee,moore",
501,"tennessee,morgan",
502,"tennessee,pickett",
503,"tennessee,polk",
504,"tennessee,sequatchie",
505,"tennessee,stewart",
506,"tennessee,union",
507,"tennessee,van buren",
508,"texas,aransas",
509,"texas,archer",
510,"texas,armstrong",
511,"texas,bandera",
512,"texas,blanco",
513,"texas,borden",
514,"texas,briscoe",
515,"texas,brooks",
516,"texas,callahan",
517,"texas,carson",
518,"texas,cass",
519,"texas,coke",
520,"texas,cottle",
521,"texas,crockett",
522,"texas,delta",
523,"texas,dickens",
524,"texas,donley",
525,"texas,duval",
526,"texas,edwards",
527,"texas,foard",
528,"texas,franklin",
529,"texas,garza",
530,"texas,glasscock",
531,"texas,goliad",
532,"texas,hall",
533,"texas,hartley",
534,"texas,hudspeth",
535,"texas,irion",
536,"texas,jeff davis",
537,"texas,jim hogg",
538,"texas,kendall",
539,"texas,kenedy",
540,"texas,kent",
541,"texas,king",
542,"texas,kinney",
543,"texas,la salle",
544,"texas,lee",
545,"texas,leon",
546,"texas,lipscomb",
547,"texas,live oak",
548,"texas,loving",
549,"texas,mcmullen",
550,"texas,marion",
551,"texas,mason",
552,"texas,menard",
553,"texas,milam",
554,"texas,mills",
555,"texas,morris",
556,"texas,motley",
557,"texas,newton",
558,"texas,oldham",
559,"texas,orange",
560,"texas,presidio",
561,"texas,rains",
562,"texas,randall",
563,"texas,real",
564,"texas,red river",
565,"texas,roberts",
566,"texas,robertson",
567,"texas,san jacinto",
568,"texas,san saba",
569,"texas,shackelford",
570,"texas,shelby",
571,"texas,sherman",
572,"texas,sterling",
573,"texas,terrell",
574,"texas,trinity",
575,"texas,upshur",
576,"texas,van zandt",
577,"texas,waller",
578,"texas,willacy",
579,"texas,zapata",
580,"texas,zavala",
581,"utah,daggett",
582,"utah,emery",
583,"utah,morgan",
584,"utah,piute",
585,"utah,rich",
586,"utah,wayne",
587,"vermont,essex",
588,"vermont,grand isle",
589,"virginia,accomack",
590,"virginia,amelia",
591,"virginia,amherst",
592,"virginia,appomattox",
593,"virginia,bland",
594,"virginia,botetourt",
595,"virginia,brunswick",
596,"virginia,buckingham",
597,"virginia,caroline",
598,"virginia,charles city",
599,"virginia,charlotte",
600,"virginia,clarke",
601,"virginia,craig",
602,"virginia,cumberland",
603,"virginia,dinwiddie",
604,"virginia,floyd",
605,"virginia,fluvanna",
606,"virginia,goochland",
607,"virginia,grayson",
608,"virginia,greene",
609,"virginia,henry",
610,"virginia,highland",
611,"virginia,isle of wight",
612,"virginia,king and queen",
613,"virginia,king george",
614,"virginia,king william",
615,"virginia,lancaster",
616,"virginia,lee",
617,"virginia,louisa",
618,"virginia,lunenburg",
619,"virginia,madison",
620,"virginia,mathews",
621,"virginia,middlesex",
622,"virginia,nelson",
623,"virginia,nottoway",
624,"virginia,orange",
625,"virginia,patrick",
626,"virginia,powhatan",
627,"virginia,rappahannock",
628,"virginia,scott",
629,"virginia,southampton",
630,"virginia,surry",
631,"virginia,sussex",
632,"virginia,westmoreland",
633,"virginia,york",
634,"washington,douglas",
635,"washington,skamania",
636,"washington,wahkiakum",
637,"west virginia,brooke",
638,"west virginia,clay",
639,"west virginia,doddridge",
640,"west virginia,gilmer",
641,"west virginia,hardy",
642,"west virginia,lincoln",
643,"west virginia,mingo",
644,"west virginia,monroe",
645,"west virginia,pendleton",
646,"west virginia,pleasants",
647,"west virginia,putnam",
648,"west virginia,ritchie",
649,"west virginia,tucker",
650,"west virginia,wirt",
651,"west virginia,wyoming",
652,"wisconsin,bayfield",
653,"wisconsin,buffalo",
654,"wisconsin,florence",
655,"wisconsin,forest",
656,"wisconsin,iron",
657,"wisconsin,kewaunee",
658,"wisconsin,marquette",
659,"wyoming,sublette",
660,"new mexico,valencia",
661,"wisconsin,menominee",
